,text,pred
23,@limaxlima10 Tpi kerajaan mana yang still bukak sector pelancongan masa Covid baru naik👀 dh la dri china,0
24,"((LIVE))Sekretariat Tabung Bencana Covid PAS Pusat
read more:https://t.co/J9rH9of3Hr
#WanitaSejahtera… https://t.co/fTSDUnyPDy",1
25,"RT @antaranews: 336 nakes di Kota Bogor positif COVID-19, delapan faskes ditutup https://t.co/6P607zdPel",1
26,"RT @hanimomo: Bukak kilang sebab takut GDP affected, tapi affected juga. Dan rakyat nak 5,000 ni mati sebab covid. Belum campur sebab desak…",1
27,"RT @AlbertSolo2: Kasus Aktif COVID-19 Surabaya Hampir 400, PPKM Mikro Diterapkan Malam Ini https://t.co/JbP8CcWIhg",0
28,"RT @arkhitaa: HIMAFO ISISKA membuka penggalangan dana untuk Mahasiswa ISI Surakarta yang terdampak COVID-19.
Donasi bisa dilakukan melalui…",0
29,"RT @mytheorem: Its about time. Either mati sebab riot atau mati sebab kebulur. Kalau nasib tak baik, mati sebab covid.

Make it count.",-1
30,"Jargon Sakti ""Keselamatan Rakyat Hukum Tertinggi"" Tak Terlihat Dalam Penanganan Covid-19 https://t.co/WU2F44LeXG",1
31,RT @nursafiyraa: Best nya tengok negara lain dah bebas Covid while Malaysia pak menteri still sibuk berebut kuasa and anggap Covid macam ta…,-1
32,"RT @501Awani: Kluster paling tinggi masih membabitkan tempat kerja, direkodkan di Selangor, Kuala Lumpur dan Johor. #AWANInews #HapusCOVID1…",0
33,"RT @viralperak: TERKINI: 5,586 kes baharu COVID-19 hari ini ⬇️
Negeri Perak merekodkan 229 kes baharu ⬆️

Perincian kes menyusul.

Salam 4K…",1
34,RT @nursafiyraa: Best nya tengok negara lain dah bebas Covid while Malaysia pak menteri still sibuk berebut kuasa and anggap Covid macam ta…,-1
35,"Kasus Aktif COVID-19 Surabaya Hampir 400, PPKM Mikro Diterapkan Malam Ini https://t.co/JbP8CcWIhg",0
36,RT @soloposdotcom: Fix! Sragen Ternyata Masih Zona Merah Persebaran Covid-19 https://t.co/Qf5HE0r0rf https://t.co/0I4jDDuPaj,1
37,"RT @herdiants: @budimandjatmiko Tmn2 bntu sbarin dr kemenkes ini ya .. kynya blm prnh di timeline

Pke telemedicine, itu lho aplikasi2 buat…",0
38,"RT @mas_recruiter: I lost my Mom today.. Rejected by 6 Hospital.. 

Kalian yg masih keliaran ga pake masker ngumpul2 kena covid bikin RS pe…",0
39,"RT @ansorcybermedia: Banser Kudus, siang dan malam... 

Pemakaman jenazah dalam APD protokol kesehatan pandemi covid-19. 

#banser
#ansor
#…",1
40,"RT @cudble: ama covid gapercaya, giliran di chat “aku janji bakal berubah” percaya",-1
41,"RT @mas_recruiter: I lost my Mom today.. Rejected by 6 Hospital.. 

Kalian yg masih keliaran ga pake masker ngumpul2 kena covid bikin RS pe…",0
42,"Sakit hari ke 8, yups hasil pcr kemarin menunjukkan aku positif covid, selama hidup, ini sakit terparah yang pernah… https://t.co/Ut195t1xmH",-1
43,"RT @nabiylarisfa: Teman2, kalau dengar kabar ada orang yg sudah vaksin dan kena covid, sebaiknya framingnya jangan “wah vaksin nggak efekti…",-1
44,tapi jarang la berlaku. before covid rajin la sikit keluar makan sampai tengah malam. curfew 2 pagi sbb kita jarang… https://t.co/HQLmd7BEr1,0
45,71.428 Warga Sumut Jalani Vaksin Covid-19 Massal https://t.co/o3ahJcR9y2,1
46,"RT @kamarul14: Rakyat di negeri Sarawak kini yang paling ramai sudah menerima suntikan dos pertama vaksin Covid-19.

Apa rahsianya? Cucuk d…",0
47,"Kasus Covid Meroket, Pemkot Semarang Tiadakan Hari Transportasi Umum https://t.co/S5RGcUr1y4",-1
48,"@e100ss @sbyfess selamat malam admin, mohon info nomor layanan ambulans gratis di Surabaya utk pasien covid ke ruma… https://t.co/JVGbm6f9g6",-1
49,"RT @dr_tompi: Covid bs sembuh? IYA
Lbh banyak yg selamata? IYA

Trus ko khawatiran amat??? Lebay lo pada...!!! 

Gini ya Mali... faskes dan…",0
50,RT @edykhemod: “Harus diumumin ya kalau kena Covid?” Sebaiknya iya. Supaya yang pernah berkontak dengan penderita bisa waspada &amp; periksa. I…,0
51,"RT @habibthink: Apakah kamu sudah dapat vaksin covid-19?

Bagi yang udah ikutan jawab, boleh banget polling ini diretweet.

Thanks a lot 🙏",1
52,RT @ezkisuyanto: Teman2 karena Wisma Atlet dan rs penuh maka dibuka tempat rawat inap di Rusunawa Nagrak Cilincing namun pemprov DKI tidak…,0
53,"RT @WidyoLita: Beliau2 para nakes itu,
Sebenarnya juga sudah lama lelah badan &amp; hati.
 
Orang awam seperti kita, jika lelah fisik &amp; mental…",0
54,"RT @mas_recruiter: I lost my Mom today.. Rejected by 6 Hospital.. 

Kalian yg masih keliaran ga pake masker ngumpul2 kena covid bikin RS pe…",0
55,@awannputtih prokes untuk lawan covid,0
56,"Tsunami Covid-19 Indonesia, Kasus Kematian Dokter di Kudus Semakin Disorot Media Asing https://t.co/WKlmb6uOUD",1
57,"RT @marlina_idha: Tangani Covid-19, Ngabalin Sebut Jokowi Kurang Tidur

Muleeii....🙄
https://t.co/9a53ZaSIMn",-1
58,"@dram214 Abi nembe vaksinasi covid-19 dosis Astra Zeneca, kedahna dosis 2 kamari kaping 23 Juni, mung takdir Allah… https://t.co/Mry2b8wims",1
59,View video2 lama dalam phone. Rindunya kehidupan before covid. So many opportunities. We are free,1
60,"RT @hanimomo: Bukak kilang sebab takut GDP affected, tapi affected juga. Dan rakyat nak 5,000 ni mati sebab covid. Belum campur sebab desak…",1
61,"RT @MFaizGhifari: Untuk mengumpulkan poster / informasi lokasi vaksinasi covid, aku coba buat web yg berfungsi untuk:

• Upload Info Vaksin…",0
62,Covid extend sampai tahun depan guys https://t.co/ngjuLxl3Px,-1
63,"RT @kamarul14: Rakyat di negeri Sarawak kini yang paling ramai sudah menerima suntikan dos pertama vaksin Covid-19.

Apa rahsianya? Cucuk d…",0
64,"RT @ferizandra: Luhut bilang, lonjakan kasus Covid-19 buah dari mudik ramai2... sedangkan Ikatan Dokter Indonesia (IDI) bilang, lonjakan ka…",0
65,"RT @mirazh_me: Udah 2x vaksin masih kena covid, pake gejala yg lumayan ganggu sih kek gini mah. Bukan gejala ringan. Kalo di promo nya, vak…",0
66,"[ Bantu Share ]
Dibutuhkan donor plasma konvalesen Golongan Darah O rhesus positif di Sidoarjo / Surabaya &amp; sekitar… https://t.co/JC6EOwSicq",-1
67,"RT @detikcom: Singapura mulai bersiap menuju new normal, menganggap COVID-19 sebagai penyakit endemik selayaknya flu. Sejumlah pembatasan m…",1
68,"bukan semua yg kena covid bdh ya, tapi oknum""nya ini",0
69,"Terima kasih mak untuk segalanya.

Kami sayang mak.

DARMAWAR BINTI JAAFAR
27/4/1960 - 26/6/2021
SABTU (4.31 PAGI)… https://t.co/dTJK5Kb3L1",-1
70,"OPERASI YUSTISI MALAM HARI

Peningkatan Disiplin Protokol Kesehatan sesuai Inpres nomor 6 tahun 2020 guna cegah pen… https://t.co/AYIzirbEBv",-1
71,RT @ribonk: Aneh bgt tasy* farasy* positif covid nyalahin art pdhl menurut ilmu virologi dan epidemiologi yg gue pelajari virus tuh ga nula…,1
72,"Dapat berita seorg kawan lama meninggal sebab covid...ya Allah,bila dah kena dgn orang terdekat terasa takut sangat..takziah sahabat",1
73,"RT @K444Dhek: Darurat COVID 19...!!!??
Ikuti aturan prokes...
Slalu jaga ksehatan...

Smangat mlm n tetap smangat...!!?

Smoga pandemi sege…",0
74,"RT @awannputtih: https://t.co/50dK1ycZCl
Sudah jelas kan kalo pemerintah sejak awal pandemi menganjurkan kita patuhi prokes,,jangan abai,,…",1
75,"RT @kamarul14: Rakyat di negeri Sarawak kini yang paling ramai sudah menerima suntikan dos pertama vaksin Covid-19.

Apa rahsianya? Cucuk d…",0
76,"RT @dr_tompi: Berita antrian RS krn covid makin menggila. Hati2 semuaaa . Berusaha utk tdk sakit, semampunya...",0
77,RT @amofficialmy: Kedai buku &amp; kedai komputer ni pusat penyebaran COVID ke lahanat? Kau boleh bagi syarikat pinjam duit bukak tapi kedai bu…,0
78,"Presiden @jokowi Lawan Pandemi

Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR) berencana memanfaatkan Rumah… https://t.co/0uMb6Op2UG",-1
79,"RT @mytheorem: Its about time. Either mati sebab riot atau mati sebab kebulur. Kalau nasib tak baik, mati sebab covid.

Make it count.",-1
80,"stlh lulus S1 covid skrng anput lg menjalankan S2 covid nya, alias kena lagi dia wkwk cpt sembuh! Pim nunggu tuh @itsme_putey",1
81,"RT @kamarul14: Rakyat di negeri Sarawak kini yang paling ramai sudah menerima suntikan dos pertama vaksin Covid-19.

Apa rahsianya? Cucuk d…",0
82,"Kasus Covid-19 Gila-gilaan, Boyolali Terjerumus ke Zona Merah https://t.co/ChG3KhbTI9",1
83,"RT @MFaizGhifari: Untuk mengumpulkan poster / informasi lokasi vaksinasi covid, aku coba buat web yg berfungsi untuk:

• Upload Info Vaksin…",0
84,"RT @hanimomo: Bukak kilang sebab takut GDP affected, tapi affected juga. Dan rakyat nak 5,000 ni mati sebab covid. Belum campur sebab desak…",1
85,"RT @AsystolicMaker: @mon_stones @__Sridiana_3va Maaf bapak.. 🙏🏻

Sy izin menjawab, saya bekerja di Unit Covid di RSJ di Jatim. Saya jawab A…",0
86,"RT @mytheorem: Its about time. Either mati sebab riot atau mati sebab kebulur. Kalau nasib tak baik, mati sebab covid.

Make it count.",-1
87,"Hari kedua abis vaksin beneran kepala kyk mau meledak, sakiitttt oiiiii Ya Allah udahan kek ini covid. Benci bngt r… https://t.co/ZWrytntUob",1
88,RT @PutraWadapi: Seluruh dunia sibuk dgn ancaman Covid-19 tapi hanya di Indonesia yg rakyat dituduh  melanggar prokes dipenjara 4 tahun dgn…,1
89,@Farishumam9 @hajiar @LowonganDosen Kalo dari pihak kampusnya ga ngasih kejelasan tentang progres pendirian prodiny… https://t.co/lRXiN9sx2D,1
90,"RT @mas_recruiter: I lost my Mom today.. Rejected by 6 Hospital.. 

Kalian yg masih keliaran ga pake masker ngumpul2 kena covid bikin RS pe…",0
91,"Ambil pelajaran dr temen ku yg nekad liburan ke Bali, akhir nya mereka berlima +covid dan gabisa plg smpe skrg",0
92,"RT @antaranews: 336 nakes di Kota Bogor positif COVID-19, delapan faskes ditutup https://t.co/6P607zdPel",1
93,"RT @maitozaq1: Temen2, mohon di bantu share/RT link di bawah ini. Link ini merupakan Web untuk mempermudah temen2 yg lg cari RS kosong baik…",0
94,"RT @nirsha97: Sejak pendemik covid 19 ni, ramai yang struggle utk survive. Begitu juga kakak sulung saya dan suaminya. Income terjejas. Nak…",0
95,Ini kasus covid makin banyak kok presiden kgk lockdown satu indonesia be sih ??? Lo tau org indo tolol2 kaga ada yg… https://t.co/3UHeEzqdRb,-1
96,"PEDOMAN MANAJEMEN KONTIJENSI PENANGANAN KLASTER COVID-19
LANGKAH-LANGKAH DALAM PENUTUPAN AREA https://t.co/OO4FsbIQzh",1
97,"@schfess Seru lah hanjay tahun pertama jadi maba, ngerasain serunya hari2 pas ospek, ngerasain senengnya tiap hari… https://t.co/ABMqWBXVgo",0
98,"RT @rzrizaldy: DPR memang gunanya utk mewakili rakyat, yang pingin jalan2 ke Bali diwakilin dewan nya aja, yang kena covid ya ttp rakyatnya…",0
99,RT @nursafiyraa: Best nya tengok negara lain dah bebas Covid while Malaysia pak menteri still sibuk berebut kuasa and anggap Covid macam ta…,-1
100,"Pandemi covid-19 ini belum berakhir.!!

#VaksinBawaDampakBaik https://t.co/nDOmtnKvZn",1
101,"RT @MMargani5: Pandemi Covid-19 membawa keberuntungan bagi Rakyat China. Migrasi besar2an rakyat RRC menuju Indonesia aman terkendali.
Sela…",1
102,"RT @mytheorem: Its about time. Either mati sebab riot atau mati sebab kebulur. Kalau nasib tak baik, mati sebab covid.

Make it count.",-1
103,"RT @nirsha97: Sejak pendemik covid 19 ni, ramai yang struggle utk survive. Begitu juga kakak sulung saya dan suaminya. Income terjejas. Nak…",0
104,"RT @habibthink: Apakah kamu sudah dapat vaksin covid-19?

Bagi yang udah ikutan jawab, boleh banget polling ini diretweet.

Thanks a lot 🙏",1
105,byk org mninggal bkn krn covid aja ! mrk yg hrsnya dapet pengobatan selain covid hrs ngalah sama org bdh yg kena co… https://t.co/ENBhTlD1ZX,0
106,"RT @Reiza_Patters: Berkata Kasar ke Gubernur Anies Baswedan, Ternyata Kemal Arsjad Pernah Terjerumus Narkotika

https://t.co/QizQ60ocd3 

P…",-1
107,"RT @Leonita_lestari: SELALU ADA ORANG JAHAT MENGORBANKAN NYAWA ORANG LAIN 
.
.
.
.
Jangan salahkan negara lain yang menolak kedatangan oran…",1
108,"RT @mas_recruiter: I lost my Mom today.. Rejected by 6 Hospital.. 

Kalian yg masih keliaran ga pake masker ngumpul2 kena covid bikin RS pe…",0
109,"RT @fadyanova: Luaaarr Biasa..!! Gebrakan Walikota Solo (Gibran), dengan Cepat membuat Rumah Sakit dari tenda2 UGD untuk mengatasi pasien C…",0
110,"RT @Marimar_Aauw: Kabar dari kota dan kabupaten Bekasi, selama 4 hari beruntun ada 3 kematian/hari di rumah saat isoman #COVID19

Yang puny…",1
111,RT @jonogemblung: @Cilorconnoistre Saya percaya bahwa Covid itu ada. Tapi saya juga percaya bahwa di masa pandemi ini banyak di komersilkan…,-1
112,"RT @Timobros: Hati-hati COVID Sobat,
Rumah sakit jakarta ngantri semua. Sampe begging begging nangis minta spot. Ngantrian bisa puluhan.

S…",1
113,"Presiden @jokowi Lawan Pandemi

Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR) berencana memanfaatkan Rumah… https://t.co/H56aVS5su4",-1
114,"RT @hanimomo: Bukak kilang sebab takut GDP affected, tapi affected juga. Dan rakyat nak 5,000 ni mati sebab covid. Belum campur sebab desak…",1
115,"RT @mytheorem: Its about time. Either mati sebab riot atau mati sebab kebulur. Kalau nasib tak baik, mati sebab covid.

Make it count.",-1
116,"@NoryckP @FirzaHusain blm ada keluarga yg kena covid ?

semoga cepat ya...🤭🤭",-1
117,"RT @japenselangor1: #27Jun2021 Status kes COVID-19 negeri Selangor yang dikemaskini sehingga 27 Jun 2021, jam 12.00 tengahari.

‼️ Kes Baha…",1
118,"RT @mas_recruiter: I lost my Mom today.. Rejected by 6 Hospital.. 

Kalian yg masih keliaran ga pake masker ngumpul2 kena covid bikin RS pe…",0
119,RT @karmenlunarx: Rina Potong Usus sibuk dengan kawasan parlimen orang lain. Kotak bantuan makanan tempek muka dia khuatir orang tak tahu d…,1
120,"RT @projectm_org: Sebulan terakhir, kami mencatat  pelbagai stori pengalaman masyarakat adat menghadapi pandemi. Kearifan mereka tampak kon…",1
121,"RT @RodriChen: Sy tahu kondisi sistem kesehatan di NTT. Alasan COVID blm menggila di sana adlh keterbatasan transport dr Jawa, mobilitas pe…",1
122,"@schfess covid lagi naik naiknya, mau tetep sekolah offline? aduh aduh🙄 https://t.co/ZK1KkwH5ud",0
123,"RT @detikcom: Singapura mulai bersiap menuju new normal, menganggap COVID-19 sebagai penyakit endemik selayaknya flu. Sejumlah pembatasan m…",1
124,"RT @detikcom: Singapura mulai bersiap menuju new normal, menganggap COVID-19 sebagai penyakit endemik selayaknya flu. Sejumlah pembatasan m…",1
125,"@jogmfs kagaa weyyy, pelayanan vaksin itu beda dari tang covid. rs bukan nolak pasien, tapi emang kapasitas ruang d… https://t.co/NLLS06tlmh",1
126,"RT @datukhensem: Nampak tak kerajaan ni bengap buat keputusan.

Patut benda camni based on data and science and yang aku pasti sejak dari h…",-1
127,berani taruhan nanti varian baru covid ke-5 pasti namanya omega,0
128,"RT @kamarul14: Rakyat di negeri Sarawak kini yang paling ramai sudah menerima suntikan dos pertama vaksin Covid-19.

Apa rahsianya? Cucuk d…",0
129,"RT @makLambeTurah: Singapura Bersiap Nyatakan Perang Terhadap COVID-19 Selesai, Anggap Seperti Flu Biasa
https://t.co/9FnXxNWCsr https://t.…",1
130,RT @zuhairah96: SALAM @MuhyiddinYassin. BILA NAK RESIGN? SEKARANG NI RASA MUSUH UTAMA BUKAN COVID TAPI POLITIK MALAYSIA NI. TAK MALU KE DEN…,0
131,"RT @otnayramitsme: Contoh Buruk seorang Pemimpin dan harus diproses hukum.

Lanjutkan Pak @ganjarpranowo karena pejabat seperti merekalah y…",-1
132,"RT @nirsha97: Sejak pendemik covid 19 ni, ramai yang struggle utk survive. Begitu juga kakak sulung saya dan suaminya. Income terjejas. Nak…",0
133,"RT @Quvvatt: Masih adakah yang suka menyalahkan anak buah😅
 
Waketum IDI Slamet Budiarto, menegaskan, lonjakan kasus Covid-19 saat ini buka…",-1
134,"RT @harianterbit2: Berpotensi Jadi Klaster Covid-19, Pengusaha Minta Munas Kadin Ditunda #Kadin #MunasKadin",0
135,"RT @tekane_sak: https://t.co/6ywS3uXT87
Sudah jelas,, pemerintah dari awal pandemi menganjurkan kita untuk patuhi prokes,,jangan abai,, aga…",1
136,"RT @dr_tompi: Berita antrian RS krn covid makin menggila. Hati2 semuaaa . Berusaha utk tdk sakit, semampunya...",0
137,"RT @handjobservice: Kalo ga percaya covid protokolnya cukup 1M, MODAR",-1
138,"RT @kamarul14: Rakyat di negeri Sarawak kini yang paling ramai sudah menerima suntikan dos pertama vaksin Covid-19.

Apa rahsianya? Cucuk d…",0
139,2x positif covid hehe. Patuhi prokes pakai masker selalu ya kalian — Siapp https://t.co/3bjPVhSxWa,1
140,"So silly, denger di streaming berita salah satu tv, perwakilan pemerintah satgas covid bilang kalo yg salah itu rak… https://t.co/VfOyKAjHDt",-1
141,"RT @mytheorem: Its about time. Either mati sebab riot atau mati sebab kebulur. Kalau nasib tak baik, mati sebab covid.

Make it count.",-1
142,RT @ang3ldro0lll: kiwak la order barang from china ni nak tunggu covid habis baru nak sampai kot,1
143,"RT @irasjafii: Kejamnya varian baru covid-19 ini. Banyak ibu hamil, anak-anak, orang muda yg memiliki gejala berat hingga kritis. Ga butuh…",1
144,"RT @K444Dhek: Darurat COVID 19...!!!??
Ikuti aturan prokes...
Slalu jaga ksehatan...

Smangat mlm n tetap smangat...!!?

Smoga pandemi sege…",0
145,"RT @sideofdorothy: Yuk kalau positif COVID-19 jangan langsung panik ya!

PEDOMAN ISOLASI MANDIRI PASIEN POSITIF COVID-19 DI RUMAH.

- sebua…",1
146,Gila ya... bapak gue yang jelas2 udah pernah positif sampe dibawa ke rumah sakit dan sempat tidak sadarkan diri. MA… https://t.co/u0NgOVB8o4,0
147,RT @wanneilish: tiba tiba dia menjauh padahal aku tak positif covid.,-1
148,"RT @hanimomo: Bukak kilang sebab takut GDP affected, tapi affected juga. Dan rakyat nak 5,000 ni mati sebab covid. Belum campur sebab desak…",1
149,"RT @mas_recruiter: I lost my Mom today.. Rejected by 6 Hospital.. 

Kalian yg masih keliaran ga pake masker ngumpul2 kena covid bikin RS pe…",0
150,RT @otnayramitsme: Gub. @ganjarpranowo  trs mendorong Kab/Kota di JaTeng utk menyiapkan RS Darurat Covid-19  dan tpt isolasi terpusat dgn m…,0
151,"RT @KawalCOVID19: 27 Jun: Rata2 kasus/kematian terkonfirmasi Covid-19 dalam 7 hari terakhir.

- Versi situs kab/kota: 19.244 / 521
- Versi…",0
152,"RT @akibaryou: IGD RS di Jogja, dari kota sampe kabupaten, pada tutup. IGD lho ini, bukan cuma bangsal COVID.

Ini serius masih ga di-lockd…",0
153,"RT @akibaryou: IGD RS di Jogja, dari kota sampe kabupaten, pada tutup. IGD lho ini, bukan cuma bangsal COVID.

Ini serius masih ga di-lockd…",0
154,"RT @mas_recruiter: I lost my Mom today.. Rejected by 6 Hospital.. 

Kalian yg masih keliaran ga pake masker ngumpul2 kena covid bikin RS pe…",0
155,@Andriii_M 17 itu termasuk yg kena covid?,1
156,"Malam ini stagnasi ugd covid 21 orang.... Terpaksa membuka ruang baru lagi karena tidak boleh menolak pasien, denga… https://t.co/TsN13p94Xe",-1
157,"Covid jahat, padahal blm pernah ketemu, tapi kok. 😭😭",0
158,"RT @vctrkmng: “Di sini kami merasa diterima masyarakat, beda dengan reaksi masyarakat di kota-kota lain..” ujar Covid Delta. https://t.co/s…",1
159,"Covid-19 di Sumedang Mengkhawatirkan, Masjid Diminta Siap Urus Korban Corona https://t.co/aMA6GXNSPh",1
160,RT @FKadrun: Keimanan... MashaAllah kebal dari covid :wudhu... Yaa Wudhu. https://t.co/pQzROtGjtx,1
161,"RT @hanimomo: Bukak kilang sebab takut GDP affected, tapi affected juga. Dan rakyat nak 5,000 ni mati sebab covid. Belum campur sebab desak…",1
162,Mosok ape kenek covid berulang2. Gaplek,-1
163,"Covid-19 di Garut Merajalela, Objek WIsata Ditutup Hindari Lonjakan Kasus https://t.co/Is6fjy4pTi",1
164,"336 nakes di Kota Bogor positif COVID-19, delapan faskes ditutup https://t.co/6P607zdPel",1
165,"RT @marlina_idha: Tangani Covid-19, Ngabalin Sebut Jokowi Kurang Tidur

Muleeii....🙄
https://t.co/9a53ZaSIMn",-1
166,"RT @_AnakKolong: PEMPROV @DKIJakarta MEMANG KLUSTER ""HAMAS PESEK"" |
.
.
.
.
https://t.co/jd2zY4hYLG",1
167,RT @nursafiyraa: Best nya tengok negara lain dah bebas Covid while Malaysia pak menteri still sibuk berebut kuasa and anggap Covid macam ta…,-1
168,"Saham Farmasi &amp; Rumah Sakit: MIKA Tambah Tempat Tidur Pasien Covid-19, Keuangan Moncer? https://t.co/Jy7At3ePoQ",-1
169,"RT @drcheputeh: Anak-anak mengambil vaksin sejak hari pertama lahir kedunia. Kesannya kadar kematian kanak-kanak bawah 5 tahun berkurang, t…",0
170,"Pemerintahan Jokowi menggenjot pelaksanaan vaksinasi. Hari ini vaksinasi covid-19 telah menembus 1,3 juta per Hari.… https://t.co/5LhoidHdje",1
171,"@nipponpainnt gw juga gitu pas covid, jadi jan kepedean anda",0
172,"Tips Aman Mengemudi Mobil untuk Mencegah Paparan COVID-19 

#merahputihcom #tips #mobil #mengemudi https://t.co/QjaZPeLA9U",-1
173,"RT @hanimomo: Bukak kilang sebab takut GDP affected, tapi affected juga. Dan rakyat nak 5,000 ni mati sebab covid. Belum campur sebab desak…",1
174,"RT @birulaanggit: https://t.co/8fr4fkIntH
Sudah jelas kan kalao pemerintah sejak awal pandemi menganjurkan kita patuhi prokes,negara lainpu…",-1
175,"Berpotensi Jadi Klaster Covid-19, Pengusaha Minta Munas Kadin Ditunda #Kadin #MunasKadin",0
176,"gua bingung jadi siapa yag positif covid tapi masih maksain jalan turnamen, kalo dari pihak penyelenggara ada covid… https://t.co/vW8AKfXxtE",-1
177,Teman2 karena Wisma Atlet dan rs penuh maka dibuka tempat rawat inap di Rusunawa Nagrak Cilincing namun pemprov DKI… https://t.co/Ytg88zllyo,0
178,"RT @health_malaysia: Orang ramai diingatkan supaya lebih berwaspada dengan kemunculan komplikasi kandungan oksigen rendah, 'Happy Hypoxia'…",0
179,"RT @_AnakKolong: ALPHA, ZETA HINGGA DELTA | akan semakin cepat menyebar &amp; pengendalian covid - 19, bukan hanya berjalan lambat tapi potensi…",0
180,"RT @mas_recruiter: I lost my Mom today.. Rejected by 6 Hospital.. 

Kalian yg masih keliaran ga pake masker ngumpul2 kena covid bikin RS pe…",0
181,@ngalamfess waras tekok covid,-1
182,RT @IraKoesnoCom: Istilah ISOMAN marak lagi krn pasien Covid-19 membeludak! Apakah jk kita positif harus dirawat di RS atau cukup isoman? J…,0
183,Ngeri bgt ya skg covid:(. Temen aku dirumah trs aja bisa kena covid😭,0
184,"RT @bandungpemkab: Update Data Pandemi Covid-19 dan Data Keterpakaian Bed Isolasi Covid-19 di Kabupaten Bandung, Minggu, 27 Juni 2021.
.
Ta…",1
185,RT @ribonk: Aneh bgt tasy* farasy* positif covid nyalahin art pdhl menurut ilmu virologi dan epidemiologi yg gue pelajari virus tuh ga nula…,1
186,RT @nuriyliamalek: Covid tak berjangkit dekat menteri ke? #tanyaje,-1
187,"RT @dr_tompi: Berita antrian RS krn covid makin menggila. Hati2 semuaaa . Berusaha utk tdk sakit, semampunya...",0
188,"RT @mytheorem: Its about time. Either mati sebab riot atau mati sebab kebulur. Kalau nasib tak baik, mati sebab covid.

Make it count.",-1
